Country,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,New_Recovered,Active_Cases,Serious_Critical,Tot_Cases/1M_pop,Deaths/1M_pop,Total_Tests,Tests/1M_pop,Population,Region
China,90435,9,4636,0.0,85506,11.0,293,4.0,63,3.0,160000000,111163,1439323776,Asia
USA,32070784,77720,577177,819.0,24626410,65554.0,6867197,9540.0,96446,1736.0,422126761,1269452,332526757,North America
India,13871321,185248,172115,1026.0,12332688,82248.0,1366518,8944.0,9975,124.0,259207108,186394,1390642113,Asia
Brazil,13601566,80157,358718,3687.0,12074798,117730.0,1168050,8318.0,63634,1678.0,28600000,133804,213745314,South America
France,5106329,39113,99480,345.0,3972182,25998.0,1034667,5952.0,78094,1521.0,70448755,1077411,65387072,Europe
Russia,4657883,8173,103601,338.0,4281776,9611.0,272506,2300.0,31907,710.0,124100000,850095,145983692,Europe
UK,4375814,2472,127123,23.0,4106779,6718.0,141912,377.0,64193,1865.0,137848442,2022244,68166088,Europe
Turkey,3962760,59187,34455,273.0,3424733,52104.0,503572,2951.0,46593,405.0,42199485,496171,85050360,Asia
Italy,3793025,13439,115088,476.0,3158725,18160.0,519212,3526.0,62807,1906.0,53550491,886717,60391837,Europe
Spain,3376548,6292,76625,100.0,3114053,3027.0,185870,2152.0,72196,1638.0,44285495,946898,46769025,Europe
Germany,3031836,10772,79408,298.0,2700200,16300.0,252228,4662.0,36096,945.0,51559277,613841,83994506,Europe
Poland,2599833,13210,59127,645.0,2219655,21873.0,321051,3513.0,68753,1564.0,13062929,345452,37813984,Europe
Argentina,2579000,27001,58174,217.0,2262875,15751.0,257951,3836.0,56655,1278.0,9743345,214041,45521023,South America
Colombia,2569314,16377,66482,326.0,2408624,12891.0,94208,4299.0,50076,1296.0,13439422,261936,51307978,South America
Mexico,2281840,1627,209702,364.0,1812694,2773.0,259444,4798.0,17553,1613.0,6279527,48306,129994567,North America
Iran,2118212,24760,65055,291.0,1729293,9209.0,323864,4481.0,24969,767.0,13866887,163457,84834876,Asia
Ukraine,1872785,11680,37758,457.0,1430234,14019.0,404793,177.0,43026,867.0,8716400,200254,43526620,Europe
Peru,1659707,6387,55489,259.0,1584425,9183.0,19793,2599.0,49794,1665.0,10086002,302598,33331387,South America
Czechia,1585100,3871,28105,77.0,1482989,346.0,74006,1144.0,147800,2621.0,14635011,1364620,10724603,Europe
Indonesia,1577526,5702,42782,126.0,1426145,6349.0,108599,0.0,5720,155.0,13510828,48989,275790702,Asia
South Africa,1559960,847,53423,67.0,1485315,959.0,21222,546.0,26045,892.0,10181143,169985,59894339,Africa
Netherlands,1364025,6685,16820,29.0,1140370,5943.0,206835,782.0,79467,980.0,11292587,657897,17164681,Europe
Chile,1088710,5790,24518,35.0,1020925,8021.0,43267,3203.0,56571,1274.0,12021128,624639,19244919,South America
Canada,1078562,7546,23392,36.0,976877,4352.0,78293,928.0,28382,616.0,29251338,769737,38001715,North America
Romania,1012373,3883,25441,193.0,915464,5166.0,71468,1530.0,52903,1329.0,7736296,404269,19136495,Europe
Iraq,941078,8179,14796,39.0,826323,5791.0,99959,477.0,22994,362.0,8599946,210131,40926514,Asia
Belgium,927229,1753,23503,30.0,781818,3568.0,121908,899.0,79732,2021.0,11723475,1008102,11629250,Europe
Sweden,885378,8880,13721,4.0,708841,1004.0,162816,391.0,87240,1352.0,7847033,773205,10148706,Europe
Philippines,884758,8546,15285,136.0,703885,322.0,165588,750.0,7991,138.0,10857391,98059,110723047,Asia
Israel,836334,176,6309,5.0,826768,274.0,3257,231.0,90930,686.0,13838957,1504629,9197590,Asia
Portugal,828173,408,16923,5.0,785809,746.0,25441,118.0,81407,1663.0,9563681,940077,10173293,Europe
Pakistan,729920,4318,15619,118.0,638267,3432.0,76034,4198.0,3255,70.0,10829994,48296,224242164,Asia
Hungary,728078,2837,23980,272.0,431124,2050.0,272974,1209.0,75519,2487.0,4976613,516191,9641034,Europe
Bangladesh,697985,6028,9891,69.0,585966,4853.0,102128,0.0,4205,60.0,5070788,30551,165975757,Asia
Jordan,672090,2790,7937,82.0,610614,6570.0,53539,729.0,65362,772.0,6372263,619716,10282548,Asia
Serbia,648745,3572,5808,35.0,566122,5188.0,76815,247.0,74486,667.0,3617179,415307,8709642,Europe
Switzerland,625367,2241,10472,6.0,561861,1567.0,53034,214.0,71846,1203.0,6437818,739614,8704294,Europe
Austria,581263,2313,9748,42.0,541786,3177.0,29729,599.0,64251,1078.0,27197861,3006367,9046752,Europe
Japan,508802,2516,9425,25.0,468770,2854.0,30607,596.0,4033,75.0,10529634,83455,126171504,Asia
Morocco,502961,684,8915,6.0,489288,656.0,4758,246.0,13501,239.0,6116735,164193,37253307,Africa
Lebanon,499839,1985,6738,35.0,411710,5615.0,81391,844.0,73491,991.0,3740454,549957,6801360,Asia
UAE,487697,2022,1537,4.0,471906,1731.0,14254,0.0,48848,154.0,40669721,4073485,9984012,Asia
Saudi Arabia,400228,951,6773,8.0,384635,608.0,8820,962.0,11358,192.0,15919088,451759,35237991,Asia
Bulgaria,378059,2944,14746,127.0,293351,3995.0,69962,799.0,54734,2135.0,2303963,333560,6907188,Europe
Slovakia,372038,870,10716,86.0,255300,0.0,106022,506.0,68117,1962.0,2449747,448530,5461722,Europe
