Position	Country	Total_Cases	New_Cases	Total_Deaths	New_Deaths	Total_Recovered	New_Recovered	Active_Cases	Serious_Critical	Tot_Cases/1M_pop	Deaths/1M_pop	Total_Tests	Tests/1M_pop	Population	Region	Bla
107	Botswana	44,075		671 		39,493		3,911	1	18,449	281	969,789	405,946	2,388,958 	Africa	543,5602
108	Jamaica	43,473	+233	713 	+16	19,472	+103	23,288	33	14,631	240	311,749	104,917	2,971,392 	North America	684,16710
109	Uganda	41,310	+47	338 		40,898		74	24	881	7	980,790	20,925	46,871,224 	Africa	1,135138,67248
110	Senegal	39,664	+58	1,087 	+2	38,410	+67	167	16	2,321	64	460,888	26,968	17,089,933 	Africa	43115,72237
111	Thailand	39,038	+1,585	97 		28,480	+97	10,461	1	558	1	8,124,896	116,172	69,938,626 	Asia	1,792721,0179
112	Zimbabwe	37,534	+112	1,551 	+1	34,981	+20	1,002	12	2,497	103	401,364	26,698	15,033,428 	Africa	4019,69337
113	Malawi	33,919	+17	1,136 	+2	31,717	+26	1,066	15	1,738	58	226,302	11,595	19,517,670 	Africa	57517,18186
114	Sudan	31,790		2,208 		25,539		4,043		712	49	232,965	5,217	44,653,127 	Africa	1,40520,223192
115	Madagascar	31,039	+832	531 	+4	25,193	+300	5,315	294	1,099	19	163,276	5,780	28,249,404 	Africa	91053,200173
116	Malta	29,860	+27	405 	+2	28,872	+30	583		67,484	915	842,208	1,903,407	442,474 	Europe	151,0931
117	Australia	29,483	+14	910 		26,385		2,188		1,146	35	16,299,142	633,387	25,733,314 	Australia/Oceania	87328,2782
118	DRC	28,859	+90	745 		25,841		2,273		315	8	144,185	1,572	91,692,851 	Africa	3,177123,078636
119	Maldives	26,021	+82	68 	+1	23,360	+118	2,593	53	47,480	124	680,883	1,242,403	548,037 	Asia	218,0591
120	Angola	24,122	+171	560 	+3	22,203	+28	1,359	20	717	17	445,121	13,222	33,666,336 	Africa	1,39660,11876
121	Rwanda	23,812	+68	322 	+1	22,015	+210	1,475	4	1,803	24	1,249,423	94,623	13,204,159 	Africa	55541,00711
122	Gabon	21,566		132 		18,219		3,215	20	9,513	58	679,898	299,915	2,266,966 	Africa	10517,1743
123	Guinea	21,392	+93	138 	+2	18,856	+41	2,398	24	1,595	10	418,977	31,239	13,412,040 	Africa	62797,18932
124	Syria	20,856	+143	1,423 	+9	14,594	+125	4,839		1,169	80	103,566	5,807	17,834,327 	Asia	85512,533172
125	Cabo Verde	19,975	+195	189 	+1	17,870	+68	1,916	23	35,622	337	139,709	249,145	560,753 	Africa	282,9674
126	Mayotte	19,757		168 		2,964		16,625	6	71,073	604	165,683	596,021	277,982 	Africa	141,6552
127	Mongolia	19,672	+1,107	37 	+6	11,044	+406	8,591	88	5,926	11	2,529,624	761,965	3,319,867 	Asia	16989,7261
128	French Polynesia	18,688		141 		4,842		13,705	1	66,224	500	26,355	93,394	282,192 	Australia/Oceania	152,00111
129	Réunion	18,425		135 		16,794		1,496	54	20,464	150	100,098	111,175	900,362 	Africa	496,6699
130	Eswatini	18,414	+2	670 		17,682		62	3	15,743	573	177,645	151,879	1,169,646 	Africa	641,7467
